tanggal,provinsi,harga_asli,harga_prediksi,error,abs_error
2023-03-12,Nusa Tenggara Timur,14656.0,13992.308,-663.6923828125,663.6923828125
2023-03-12,Papua,15419.0,13936.263,-1482.7373046875,1482.7373046875
2023-03-12,Papua Barat,15125.0,13862.281,-1262.71875,1262.71875
2023-03-12,Kalimantan Timur,15167.0,15164.791,-2.208984375,2.208984375
2023-03-12,Kalimantan Utara,15310.0,14403.618,-906.3818359375,906.3818359375
2023-03-12,Kalimantan Tengah,15493.0,16241.757,748.7568359375,748.7568359375
2023-03-12,Sumatera Barat,15833.0,13445.217,-2387.783203125,2387.783203125
2023-03-12,Kepulauan Bangka Belitung,13557.0,14071.157,514.1572265625,514.1572265625
2023-03-12,Maluku,15070.0,13981.333,-1088.6669921875,1088.6669921875
2023-03-12,Sumatera Utara,13464.0,13409.078,-54.921875,54.921875
2023-03-12,Kalimantan Selatan,17708.0,16397.3,-1310.69921875,1310.69921875
2023-03-12,Bali,12972.0,12848.3955,-123.6044921875,123.6044921875
2023-03-12,Nusa Tenggara Barat,12000.0,14019.706,2019.7060546875,2019.7060546875
2023-03-12,Sulawesi Barat,12250.0,13702.164,1452.1640625,1452.1640625
2023-03-12,Aceh,12722.0,12831.71,109.7099609375,109.7099609375
2023-03-12,Sulawesi Selatan,12337.0,13630.046,1293.0458984375,1293.0458984375
2023-03-12,Lampung,12364.0,13948.117,1584.1171875,1584.1171875
2023-03-12,Jawa Timur,12494.0,13462.44,968.4404296875,968.4404296875
2023-03-12,Bengkulu,12917.0,12856.153,-60.8466796875,60.8466796875
2023-03-12,Sulawesi Tenggara,12990.0,13516.542,526.5419921875,526.5419921875
2023-03-12,Jawa Barat,12538.0,12635.098,97.09765625,97.09765625
2023-03-12,Sumatera Selatan,12618.0,13423.318,805.318359375,805.318359375
2023-03-12,D.I Yogyakarta,12640.0,12837.567,197.5673828125,197.5673828125
2023-03-12,Jawa Tengah,12723.0,12793.198,70.1982421875,70.1982421875
2023-03-12,DKI Jakarta,12750.0,12797.361,47.361328125,47.361328125
2023-03-12,Jambi,13341.0,12663.687,-677.3134765625,677.3134765625
2023-03-12,Gorontalo,12942.0,12734.903,-207.0966796875,207.0966796875
2023-03-12,Banten,12500.0,12858.007,358.0068359375,358.0068359375
2023-03-13,Riau,13662.0,13786.977,124.9765625,124.9765625
2023-03-13,Sulawesi Tengah,13508.0,13573.435,65.4345703125,65.4345703125
2023-03-13,Sulawesi Utara,13604.0,13481.691,-122.30859375,122.30859375
2023-03-13,Kepulauan Riau,14614.0,13967.163,-646.8369140625,646.8369140625
2023-03-13,Kalimantan Barat,14638.0,14969.582,331.58203125,331.58203125
2023-03-13,Papua Barat,15125.0,13868.0625,-1256.9375,1256.9375
2023-03-13,Maluku,15152.0,13990.728,-1161.2724609375,1161.2724609375
